 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,0,0,0,39.695,9.485,0.000,0,2,1,0,2
2,0.000,9,9,9,5.659,23.435,0.057,9,2,1,0,2
