 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,0,0,0,28.109,6.189,0,0,1,1,0,2
2,0.000,0,0,0,2.966,20.953,0,0,1,1,0,2
