 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,18,18,18,23.989,11.156,0.049,18,2,21,0,2
2,0.000,9,9,9,2.671,17.075,0.025,9,2,21,0,2
