 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,0,0,0,32.850,31.659,0.000,0,2,1,0,2
2,0.000,9,9,9,4.267,38.308,0.089,9,2,1,0,2
