 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,11,11,11,30.906,13.763,0.160,11,2,1,0,2
2,0.000,0,0,0,16.298,30.302,0.000,0,2,1,0,2
