 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,142,142,142,13.304,47.894,1.608,142,3,6,0,2
2,0.000,28,28,28,27.459,13.197,0.317,28,3,6,0,2
