 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,0,0,0,15.314,4.566,0,0,2,12,0,2
2,0.000,0,0,0,3.071,14.999,0,0,2,12,0,2
