 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,33,33,33,0.139,14.868,0.070,33,2,1,0,2
2,0.000,0,0,0,23.503,6.834,0.000,0,2,1,0,2
