 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,18,18,18,55.234,49.299,0.489,18,2,1,0,2
2,0.000,27,27,27,20.939,32.646,0.734,27,2,1,0,2
