 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,23,23,23,30.230,7.770,0.339,23,2,1,0,2
2,0.000,0,0,0,30.230,53.904,0.000,0,2,1,0,2
