 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,0,0,0,12.559,44.062,0,0,2,6,0,2
2,0.000,0,0,0,37.783,13.410,0,0,2,6,0,2
