 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,0,0,0,37.901,8.592,0,0,2,36,0,2
2,0.000,0,0,0,4.010,29.691,0,0,2,36,0,2
