 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,9,9,9,58.518,34.075,0.130,9,2,11,0,2
2,0.000,0,0,0,15.171,24.563,0.000,0,2,11,0,2
