 ,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Ch,Frame,Counter,Count
1,0.000,0,0,0,17.010,11.975,0.000,0,2,101,0,2
2,0.000,11,11,11,36.742,48.990,0.204,11,2,101,0,2
